"1800EBH0232","",387145,401600,"Bluestone Road (to define route)","Kenyon Lane","W","BLUESTONE ROAD","KENYON LANE","N0075088","","","BCT","HAR","OTH","DEL",0,"","N","","","2007-11-01"
"1800EBH0241","",387281,401687,"Fold Street","Bluestone Road","N","FOLD STREET","BLUESTONE ROAD","N0075088","","","BCT","HAR","OTH","DEL",0,"","N","","","2007-11-01"
"1800EBH0242","",387281,401687,"Fold Street","Bluestone Road","S","FOLD STREET","BLUESTONE ROAD","N0075088","","","BCT","HAR","OTH","DEL",0,"","N","","","2007-11-01"
"1800EBH0251","",387154,401780,"Hinde Street","Edale Avenue","E","HINDE STREET","EDALE AVENUE","N0075088","","","BCT","HAR","OTH","DEL",0,"","N","","","2007-11-01"
"1800EBH0252","",387154,401780,"Hinde Street","Edale Avenue","W","HINDE STREET","EDALE AVENUE","N0075088","","","BCT","HAR","OTH","DEL",0,"","N","","","2007-11-01"
"1800EBH0261","",387045,402045,"Worsley Avenue","Ashville Terr","N","WORSLEY AVENUE","ASHVILLE TERR","N0075088","","","BCT","HAR","OTH","ACT",0,"","N","","","2007-11-01"
"1800EBH0271","",386958,402200,"Oak Bank Avenue","Carill Avenue","W","OAK BANK AVENUE","CARILL AVENUE","E0028557","","","BCT","HAR","OTH","ACT",0,"","N","","","2007-11-01"
"1800EBH0281","",386772,402243,"Gill Street","Oak Bank Avenue","S","GILL STREET","OAK BANK AVENUE","E0028557","","","BCT","HAR","OTH","ACT",0,"","N","","","2007-11-01"
"1800EBH0291","",386718,402167,"Hodge Street","Gill Street","W","HODGE STREET","GILL STREET","E0028557","","","BCT","HAR","OTH","ACT",0,"","N","","","2007-11-01"
"1800EBH0301","",386574,402179,"Lewis Avenue","Clough Road","W","LEWIS AVENUE","CLOUGH ROAD","E0028557","","","BCT","HAR","OTH","ACT",0,"","N","","","2007-11-01"
"1800EBH0311","",386172,402201,"Dalbeattie Street","Dalbeattie St","S","DALBEATTIE ST","PARKMOUNT ROAD","E0028557","","","BCT","HAR","OTH","ACT",0,"","N","","","2007-11-01"
"1800EBH0321","",386124,401920,"Dalbeattie St/Moston Lane (to def route)","Moston Lane","N","DALBEATTIE ST","MOSTON LANE","E0028743","","","BCT","HAR","OTH","DEL",0,"","N","","","2007-11-01"
"1800EBH0331","",387168,403300,"Euston Ave/Grange Park Rd (N bound)","Grange Park Rd","SE","EUSTON AVENUE","GRANGE PARK RD","E0029539","","","BCT","HAR","OTH","ACT",1,"DIRECTION AMENDED","N","","","2010-04-20"
"1800EBH0341","",387195,403166,"Euston Avenue (S bound)","Booth Hall Road","NW","EUSTON AVENUE","BOOTH HALL ROAD","E0029539","","","BCT","HAR","OTH","ACT",1,"DIRECTION AMENDED","N","","","2010-04-20"
"1800EBH0351","",387452,403093,"Booth Hall Rd (E of Euston Ave)","Pilkington Rd","NW","BOOTH HALL ROAD","PILKINGTON ROAD","E0029539","","","BCT","HAR","OTH","ACT",1,"INDICATOR AMENDED","N","","","2010-03-29"
"1800EBH0361","",387463,402985,"Pilkington Road","Charlestown Rd","NW","PILKINGTON ROAD","CHARLESTOWN RD","E0029539","","","BCT","HAR","OTH","ACT",0,"","N","","","2007-11-01"
"1800EBH0371","",384543,398374,"Dale Street (to define route)","Lever Street","SE","DALE STREET","LEVER STREET","N0075071","","","BCT","HAR","OTH","DEL",0,"","N","","","2007-11-01"
